type,original_title,title,overview,release_date,popularity,vote_average,genres,ott_platforms
movie,Mufasa: The Lion King,무파사: 라이온 킹,길을 잃고 혼자가 된 새끼 사자 무파사는 광활한 야생을 떠돌던 중 왕의 혈통이자 예정된 후계자 타카와 우연히 만나게 된다. 마치 친형제처럼 끈끈한 우애를 나누며 함께 자란 무파사와 타카는 운명을 개척하기 위해 거대한 여정을 함께 떠난다. 한 치 앞을 알 수 없는 적들의 위협 속에서 두 형제의 끈끈했던 유대에 금이 가기 시작하고 예상치 못한 위기까지 맞닥뜨리게 되는데…,2024-12-18,2011.903,7.443,"모험, 가족, 애니메이션",
movie,The Gorge,'더 캐니언' - The Gorge,"고도의 훈련을 받은 두 요원는 비밀스러운 협곡의 양쪽을 지키는 임무를 받은 후 멀리서 서로와 서서히 친해진다. 도사리고 있던 악이 드러나자, 둘은 협곡 안의 위험으로부터 살아남기 위해 협력해야만 한다.",2025-02-13,2493.124,7.788,"로맨스, SF, 스릴러",Apple TV Plus
movie,Moana 2,모아나 2,바다를 누볐던 선조들에게서 예기치 못한 부름을 받은 모아나가 마우이와 다시 만나 새로운 선원들과 함께 오랫동안 잊혀진 멀고 위험한 바다 너머로 떠나는 특별한 모험을 담은 이야기,2024-11-21,1377.837,7.163,"애니메이션, 모험, 가족, 코미디",
movie,Sonic the Hedgehog 3,수퍼 소닉 3,"너클즈, 테일즈와 함께 평화로운 일상을 보내던 초특급 히어로 소닉. 연구 시설에 50년간 잠들어 있던 사상 최강의 비밀 병기 ""섀도우""가 탈주하자, 세계 수호 통합 부대(약칭 세.수.통)에 의해 극비 소집된다. 소중한 것을 잃은 분노와 복수심에 불타는 섀도우는 소닉의 초고속 스피드와 너클즈의 최강 펀치를 단 단숨에 제압해버린다. 세상을 지배하려는 닥터 로보트닉과 그의 할아버지 제럴드 박사는 섀도우의 엄청난 힘 카오스 에너지를 이용해 인류를 정복하려고 하는데…",2024-12-19,1187.336,7.8,"액션, SF, 코미디, 가족",
movie,அமரன்,அமரன்,,2024-10-31,1093.009,7.4,"액션, 드라마, 모험, 전쟁","Netflix, Netflix basic with Ads"
movie,Captain America: Brave New World,캡틴 아메리카: 브레이브 뉴 월드,"대통령이 된 새디우스 로스와 재회 후, 국제적인 사건의 중심에 서게 된 샘이 전 세계를 붉게 장악하려는 사악한 음모 뒤에 숨겨진 존재와 이유를 파헤쳐 나가는 액션 블록버스터",2025-02-12,957.664,6.199,"액션, 스릴러, SF",
movie,Flight Risk,플라이트 리스크,"미셸 도커리가 연기하는 부지런한 미국 연방보호관 매들린 해리스는 마피아 조직의 회계사였던 윈스턴(토퍼 그레이스)을 증인 보호 프로그램으로 이송하는 임무를 맡게 된다. 그들은 알래스카의 황량한 설원을 가로지르는 작은 비행기에 탑승하며, 이 비행기의 조종사는 다릴 부스(마크 월버그)다. 그러나 비행 도중, 이들이 탑승한 비행기는 예상치 못한 위험에 직면하게 되고, 매들린은 조종사와 승객들의 숨겨진 의도를 의심하게 된다. 한정된 공간에서 긴장감이 고조되는 가운데, 매들린은 비행기의 조종을 직접 맡아야 하는 상황에 이르게 되는데...",2025-01-22,1520.286,5.812,"액션, 스릴러, 범죄",
movie,熊猫计划,판다 플랜,액션 스타 재키가 우연히 전 세계적인 인기를 한 몸에 받고 있는 ‘후후’라는 아기 판다 구출 작전에 합류하게 되면서 벌어지는 이야기,2024-10-01,792.323,7.21,"액션, 코미디",
movie,My Fault: London,나의 잘못: 런던,영국의 부유한 사업가 윌리엄과 최근 사랑에 빠진 엄마를 따라 미국에서 영국으로 거처를 옮긴 18세 노아는 윌리엄의 불량한 아들 닉을 만나게 되고 둘은 서로에게 거부할 수 없는 매력을 느낀다. 여름 내내 노아는 새로운 생활에 적응하며 처음으로 사랑에 빠지지만 과거의 괴로운 기억이 노아의 발목을 잡는다.,2025-02-12,666.137,7.5,"로맨스, 드라마",Amazon Prime Video
movie,Kraven the Hunter,크레이븐 더 헌터,죽음의 문턱에서 맹수의 초인적인 힘을 얻고 살아 돌아온 크레이븐이 무자비한 복수의 길을 택하며 거침없는 사냥을 펼치는 액션 블록버스터,2024-12-11,625.402,6.676,"액션, 모험, 스릴러",
